rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Baby Shark,Pinkfong,[],��������� ������ ������������,12/1/2015,2015,"[""children""]","[""und""]",,,,,,,spotify_streams,1041566738.0,streams,1041566738,Spotify,,210.63787986557688,5ygDXis42ncn6kYG14lEVG,,KRE671700001,https://kworb.net/spotify/songs.html,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
2,Baby Shark,Super Simple Songs,[],Baby Shark & More Kids Songs,3/24/2017,2017,"[""children""]","[""und""]",,,,,,,spotify_streams_snapshot,53980875.0,streams,53980875,Spotify,,162.3059501972736,7e6klfDDVfvPDmx6fwXYN0,,TCADE1784654,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
3,Castaways,The Backyardigans,[],,,,"[""children""]","[""und""]",,,,,,,spotify_chart_streams_snapshot,2224490.0,streams,2224490,Spotify,,83.07230652988876,6uDBSDI9pDM7C4Gm0hc2hI,,,data/raw/spotify_top10000_streamed_songs_2023.csv,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
4,The Chipmunk Song (Christmas Don't Be Late)  Remastered 1999,Alvin & The Chipmunks,[],,,1961,"[""children""]","[""und""]",,,,,,,spotify_chart_streams_snapshot,1865297.0,streams,1865297,Spotify,,74.60748224572056,7mZwaEEaHSeTYC2hTAjUki,,,data/raw/spotify_top10000_streamed_songs_2023.csv,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
5,Wheels on the Bus,CoComelon,[],"Cocomelon Kids Hits, Vol. 1",2019-11-26,2019,"[""children"",""[\""children's music\"""",""'nursery'"",""\""preschool children's music\""]""]","[""und""]",,,,,,,spotify_popularity,72.0,score_0_100,,,,25.2,6YQ7aPJhk0MGpwoKfFAEbS,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children"",""[\""children's music\"""",""'nursery'"",""\""preschool children's music\""]""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
6,Twinkle Twinkle Little Star,Super Simple Songs,[],Twinkle Twinkle Little Star & More Kids Songs,2017-03-24,2017,"[""[\""children's music\""]"",""children""]","[""und""]",,,,,,,spotify_popularity,70.0,score_0_100,,,,24.5,3N6kzbnfpTPB5J9NAGc1rU,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""[\""children's music\""]"",""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
7,Baa Baa Black Sheep,CoComelon,[],"CoComelon Kids Hits, Vol. 1",,2019,"[""children""]","[""und""]",,,,,,,spotify_popularity,68.0,score_0_100,,,,23.799999999999997,7vqjQxtuG9XDQ7akjxVHGf,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
8,The Finger Family (Daddy Finger),Muffin Songs,[],70 Best Kids Songs with Muffin Songs,2015-10-12,2015,"[""children"",""[\""children's music\"""",""'nursery']""]","[""und""]",,,,,,,spotify_popularity,68.0,score_0_100,,,,23.799999999999997,2v4Tr06c6pj4omEgluFfIh,,,https://doi.org/10.5281/zenodo.11453410,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children"",""[\""children's music\"""",""'nursery']""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
9,Twinkle Twinkle Little Star,CoComelon,[],"CoComelon Kids Hits, Vol. 3",2020-05-22,2020,"[""[\""children's music\"""",""'nursery'"",""\""preschool children's music\""]"",""children""]","[""und""]",,,,,,,spotify_popularity,67.0,score_0_100,,,,23.45,2hjtkscZtzpcGgQwR84dGQ,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""[\""children's music\"""",""'nursery'"",""\""preschool children's music\""]"",""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
10,Itsy Bitsy Spider,CoComelon,[],"CoComelon Kids Hits, Vol. 1",,2019,"[""children""]","[""und""]",,,,,,,spotify_popularity,67.0,score_0_100,,,,23.45,6cKlr2BOXBaqiuaHUY5Zwo,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-12,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
